                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.5357,                 2.2095,                 1.7706,                 0.6654,                0.31034,                0.33064,                0.15259,                 1.9764,                 2.7495,                 2.2944,              0.0009308,              0.0009308,              0.0009308
                     56,                    1.5,                 2.1652,                 1.7416,                0.58751,                0.32748,                 0.3248,                0.15531,                 1.8065,                 2.4748,                 2.2109,               0.000911,               0.000911,               0.000911
                     57,                 1.4764,                 2.1201,                 1.7349,                0.58006,                0.33333,                0.33182,                0.14395,                  1.893,                 2.4629,                 2.2356,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.4937,                 2.1436,                 1.7365,                0.50711,                0.28736,                0.29173,                0.13232,                 1.9034,                 2.5405,                 2.2079,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.5079,                 2.1666,                 1.7488,                0.46592,                0.36782,                0.30988,                0.11481,                 1.9129,                 2.6267,                 2.2294,              0.0008516,              0.0008516,              0.0008516
                     60,                  1.471,                  2.132,                 1.7243,                0.49445,                0.27586,                0.28816,                0.13137,                 1.8951,                  2.608,                 2.2802,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4835,                 2.1389,                 1.7306,                0.48248,                0.31034,                0.29185,                0.13533,                 2.0148,                 2.5353,                 2.3234,               0.000812,               0.000812,               0.000812
                     62,                 1.4885,                 2.1355,                 1.7241,                0.51101,                0.31034,                0.30859,                0.13419,                 1.9371,                 2.5049,                 2.2809,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4733,                 2.1204,                 1.7281,                0.63752,                0.26437,                0.31791,                0.13908,                 1.9363,                 2.5144,                 2.2593,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.5007,                 2.1074,                 1.7303,                0.41224,                0.33056,                0.28121,                0.10284,                 2.1031,                 2.7049,                  2.324,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4607,                  2.047,                 1.7031,                0.47069,                0.30669,                0.28848,                0.12366,                 1.9688,                 2.6347,                  2.296,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.4474,                 2.0429,                 1.6969,                0.47249,                 0.3398,                0.30815,                0.13373,                 1.9286,                 2.4694,                 2.2559,               0.000713,               0.000713,               0.000713
                     67,                 1.4479,                  2.044,                 1.6956,                0.67528,                0.27586,                0.29453,                0.11838,                 1.9774,                 2.5288,                 2.2651,              0.0006932,              0.0006932,              0.0006932
